variant,eval_loops,loss,perplexity
fixed_ma,22,6.908718585968018,1000.963771115076
fixed_ma,23,6.910646438598633,1002.8953430491455
fixed_ma,24,6.912650108337402,1004.9068286025746
fixed_ma,25,6.914722919464111,1006.9919709647767
fixed_ma,26,6.916867733001709,1009.1540988280535
fixed_ma,27,6.919081211090088,1011.3903133064566
fixed_ma,28,6.921355247497559,1013.6928687562845
fixed_ma,29,6.9236907958984375,1016.063164407545
fixed_ma,30,6.926091194152832,1018.5050502304828
fixed_ma,31,6.928554058074951,1021.0165810830389
fixed_ma,32,6.931066513061523,1023.5850645319643
alternating_am_ma,4,7.041799545288086,1143.44343454128
alternating_am_ma,5,7.028674125671387,1128.5333244354922
alternating_am_ma,6,7.023099422454834,1122.2595894346812
alternating_am_ma,7,7.018790245056152,1117.4339784505619
alternating_am_ma,8,7.016817092895508,1115.2312850209053
alternating_am_ma,9,7.015492916107178,1113.7554989561293
alternating_am_ma,10,7.014672756195068,1112.8424158322644
alternating_am_ma,11,7.014554977416992,1112.7113543306195
alternating_am_ma,12,7.014246463775635,1112.3681206477745
alternating_am_ma,13,7.014737606048584,1112.914585839999
alternating_am_ma,14,7.014739036560059,1112.9161778782232
alternating_am_ma,15,7.015582084655762,1113.8548153453319
alternating_am_ma,16,7.01582145690918,1114.1214731964337
alternating_am_ma,17,7.01690673828125,1115.3312648409405
alternating_am_ma,18,7.01734733581543,1115.822785319427
alternating_am_ma,19,7.018605709075928,1117.2277907011264
alternating_am_ma,20,7.01922082901001,1117.9152311935966
alternating_am_ma,21,7.020627498626709,1119.4888751224298
alternating_am_ma,22,7.021401405334473,1120.3555904072816
alternating_am_ma,23,7.022943019866943,1122.0840788561206
alternating_am_ma,24,7.023874282836914,1123.12952092314
alternating_am_ma,25,7.025534629821777,1124.9958545888014
alternating_am_ma,26,7.026617050170898,1126.2142322739273
alternating_am_ma,27,7.0283942222595215,1128.2174883114455
alternating_am_ma,28,7.029628753662109,1129.6111683235797
alternating_am_ma,29,7.031522274017334,1131.7521364079244
alternating_am_ma,30,7.032914161682129,1133.3285050557354
alternating_am_ma,31,7.034918785095215,1135.6026805828742
alternating_am_ma,32,7.036474227905273,1137.3704200598938
alternating_force_am,4,7.039677619934082,1141.019705322315
alternating_force_am,5,7.029851913452148,1129.863280244304
alternating_force_am,6,7.02579402923584,1125.2877157069695
alternating_force_am,7,7.02489709854126,1124.2788631175788
alternating_force_am,8,7.025776386260986,1125.267862459234
alternating_force_am,9,7.027689456939697,1127.42263987617
alternating_force_am,10,7.030250072479248,1130.313235079567
alternating_force_am,11,7.033232688903809,1133.6895585353295
alternating_force_am,12,7.036530494689941,1137.4344180368703
alternating_force_am,13,7.0400567054748535,1141.4523313903005
alternating_force_am,14,7.043804168701172,1145.7379070299723
alternating_force_am,15,7.04771614074707,1150.2287800518804
alternating_force_am,16,7.051793098449707,1154.9277864529358
alternating_force_am,17,7.0560173988342285,1159.8168675485674
alternating_force_am,18,7.060389041900635,1164.8982718661948
alternating_force_am,19,7.064889907836914,1170.1531396740265
alternating_force_am,20,7.06951379776001,1175.5763274341905
alternating_force_am,21,7.074244976043701,1181.1513664778713
alternating_force_am,22,7.0790886878967285,1186.8864015678937
alternating_force_am,23,7.084033012390137,1192.7692845306442
alternating_force_am,24,7.089052200317383,1198.77106716115
alternating_force_am,25,7.094144821166992,1204.891525049684
alternating_force_am,26,7.099307537078857,1211.1281227368602
alternating_force_am,27,7.104520797729492,1217.4585360318977
alternating_force_am,28,7.109785079956055,1223.8844805173808
alternating_force_am,29,7.1150712966918945,1230.371329480052
alternating_force_am,30,7.12039041519165,1236.9332567432198
alternating_force_am,31,7.1257195472717285,1243.5426329199627
alternating_force_am,32,7.131052017211914,1250.1914983116023
alternating_force_ma,4,7.646125316619873,2092.522001196851
alternating_force_ma,5,7.667721271514893,2138.203504374743
alternating_force_ma,6,7.689558029174805,2185.408461968577
alternating_force_ma,7,7.71112585067749,2233.054929879366
alternating_force_ma,8,7.731988906860352,2280.132665458579
alternating_force_ma,9,7.751826763153076,2325.817253532491
alternating_force_ma,10,7.770421981811523,2369.470951065059
alternating_force_ma,11,7.787675380706787,2410.7070873836924
alternating_force_ma,12,7.803560733795166,2449.307801929885
alternating_force_ma,13,7.818108558654785,2485.200349084255
alternating_force_ma,14,7.831382751464844,2518.409301077223
alternating_force_ma,15,7.843472957611084,2549.042194545162
alternating_force_ma,16,7.854484558105469,2577.266340149199
alternating_force_ma,17,7.864501953125,2603.2135800453234
alternating_force_ma,18,7.87363862991333,2627.1072894692534
alternating_force_ma,19,7.881986618041992,2649.130145308438
alternating_force_ma,20,7.88962984085083,2669.4556143538207
alternating_force_ma,21,7.8966498374938965,2688.2611138486545
alternating_force_ma,22,7.903118133544922,2705.705940925946
alternating_force_ma,23,7.909101963043213,2721.944961258612
alternating_force_ma,24,7.914661884307861,2737.1209103768824
alternating_force_ma,25,7.919838905334473,2751.3277857981648
alternating_force_ma,26,7.924691677093506,2764.7118000947885
alternating_force_ma,27,7.929256439208984,2777.3608998816726
alternating_force_ma,28,7.933566570281982,2789.357524337102
alternating_force_ma,29,7.937657356262207,2800.7915601429168
alternating_force_ma,30,7.94155740737915,2811.736118691686
alternating_force_ma,31,7.945287704467773,2822.244316914606
alternating_force_ma,32,7.948872089385986,2832.3784783973047
alternating_reverse_parity,4,7.6235175132751465,2045.7454254373706
alternating_reverse_parity,5,7.640418529510498,2080.6144329094864
alternating_reverse_parity,6,7.646263122558594,2092.810383025427
alternating_reverse_parity,7,7.663188457489014,2128.533358583388
alternating_reverse_parity,8,7.666746139526367,2136.119489999329
alternating_reverse_parity,9,7.683011531829834,2171.148418869842
alternating_reverse_parity,10,7.68411922454834,2173.5547166374367
alternating_reverse_parity,11,7.699221611022949,2206.629706986602
alternating_reverse_parity,12,7.697955131530762,2203.8368246532596
alternating_reverse_parity,13,7.711795330047607,2234.550414629496
alternating_reverse_parity,14,7.70850944519043,2227.2199893217958
alternating_reverse_parity,15,7.721257209777832,2255.7938046162603
