variant,seed,eval_loops,perplexity
fixed_ma,43,7,916.317613991248
fixed_am_control,43,8,1130.8582705247547
fixed_ma,43,8,910.8178895872816
fixed_am_control,43,9,1129.3596511783398
fixed_ma,43,9,907.8654559959962
fixed_am_control,43,10,1129.2142599632143
fixed_ma,43,10,906.3735972551196
fixed_am_control,43,11,1129.7646913202454
fixed_ma,43,11,905.822719151804
fixed_am_control,43,12,1130.7315573420688
fixed_ma,43,12,905.9173167459462
fixed_am_control,43,13,1131.9534480393113
fixed_ma,43,13,906.4790583870447
fixed_am_control,43,14,1133.344717566006
fixed_ma,43,14,907.3738102411767
fixed_am_control,43,15,1134.8367199777506
fixed_ma,43,15,908.5271743207387
fixed_am_control,43,16,1136.3729512224472
fixed_ma,43,16,909.8650738781744
fixed_am_control,43,17,1137.9194010718336
fixed_ma,43,17,911.3670251917955
fixed_am_control,43,18,1139.4538286606146
fixed_ma,43,18,912.9907333718651
fixed_am_control,43,19,1140.9652985601097
fixed_ma,43,19,914.7246270613766
fixed_am_control,43,20,1142.4439082505069
fixed_ma,43,20,916.5496554729541
fixed_am_control,43,21,1143.8840703657463
fixed_ma,43,21,918.4698543161497
fixed_am_control,43,22,1145.3063872900798
fixed_ma,43,22,920.4695661612545
fixed_am_control,43,23,1146.6889164093498
fixed_ma,43,23,922.5470929865996
fixed_am_control,43,24,1148.0501220010099
fixed_ma,43,24,924.6994142288338
fixed_am_control,43,25,1149.3948568554658
fixed_ma,43,25,926.9305670962576
fixed_am_control,43,26,1150.729643844261
fixed_ma,43,26,929.2375528146722
fixed_am_control,43,27,1152.058290070593
fixed_ma,43,27,931.6222430821512
fixed_am_control,43,28,1153.378020823974
fixed_ma,43,28,934.0874332564829
fixed_am_control,43,29,1154.703668220423
fixed_ma,43,29,936.6301565334776
fixed_am_control,43,30,1156.0352491800152
fixed_ma,43,30,939.2554887814072
fixed_am_control,43,31,1157.3805070329074
fixed_ma,43,31,941.963186960373
fixed_am_control,43,32,1158.7262252906949
fixed_ma,43,32,944.7647323050035
fixed_am_control,44,4,1149.9918646268213
fixed_ma,44,4,1015.1028615946211
fixed_am_control,44,5,1120.1066682003516
fixed_ma,44,5,977.2511588409939
fixed_am_control,44,6,1105.1962143376782
fixed_ma,44,6,959.1874146960018
fixed_am_control,44,7,1097.3393215357755
fixed_ma,44,7,949.6734628662152
fixed_am_control,44,8,1092.9522730339754
fixed_ma,44,8,944.1918714140741
fixed_am_control,44,9,1090.4036485811403
fixed_ma,44,9,940.8817744034448
fixed_am_control,44,10,1088.9555243819577
fixed_ma,44,10,938.9174063437717
fixed_am_control,44,11,1088.2324430966744
fixed_ma,44,11,937.8797390367162
fixed_am_control,44,12,1088.0389070030942
fixed_ma,44,12,937.5010236445083
fixed_am_control,44,13,1088.2423024249836
fixed_ma,44,13,937.6221780450836
fixed_am_control,44,14,1088.7447274775145
fixed_ma,44,14,938.1167934221186
fixed_am_control,44,15,1089.4826952188196
fixed_ma,44,15,938.9071090539584
fixed_am_control,44,16,1090.4046884715904
fixed_ma,44,16,939.9181249802996
fixed_am_control,44,17,1091.463291040671
fixed_ma,44,17,941.129909124953
fixed_am_control,44,18,1092.6417056543742
fixed_ma,44,18,942.5000897587269
fixed_am_control,44,19,1093.9090206177991
fixed_ma,44,19,944.0235019902599
fixed_am_control,44,20,1095.251441196288
fixed_ma,44,20,945.6760804159662
fixed_am_control,44,21,1096.6676713905033
fixed_ma,44,21,947.4435856941701
fixed_am_control,44,22,1098.143331260379
fixed_ma,44,22,949.3320831840801
fixed_am_control,44,23,1099.6802287887656
fixed_ma,44,23,951.3236839453097
fixed_am_control,44,24,1101.2717887485674
fixed_ma,44,24,953.4240215859677
fixed_am_control,44,25,1102.9093016742374
fixed_ma,44,25,955.6132919518552
fixed_am_control,44,26,1104.6045533129236
fixed_ma,44,26,957.9048752894251
fixed_am_control,44,27,1106.3461962089661
fixed_ma,44,27,960.2944460667301
fixed_am_control,44,28,1108.1302142897418
fixed_ma,44,28,962.7744460550693
fixed_am_control,44,29,1109.972681767661
fixed_ma,44,29,965.3437033045732
fixed_am_control,44,30,1111.8622165203992
fixed_ma,44,30,968.0093597946784
fixed_am_control,44,31,1113.8006416715662
fixed_ma,44,31,970.756900014362
fixed_am_control,44,32,1115.7860733855193
fixed_ma,44,32,973.6009062271335
