seed,eval_loops,fixed_am_perplexity,fixed_ma_perplexity,absolute_delta,relative_delta_percent
43,19,1140.9652985601097,914.7246270613766,-226.24067149873304,-19.828882770076106
43,20,1142.4439082505069,916.5496554729541,-225.89425277755277,-19.77289660754358
43,21,1143.8840703657463,918.4698543161497,-225.41421604959658,-19.706036816958427
43,22,1145.3063872900798,920.4695661612545,-224.83682112882525,-19.63115054835359
43,23,1146.6889164093498,922.5470929865996,-224.14182342275012,-19.546872758185362
43,24,1148.0501220010099,924.6994142288338,-223.35070777217607,-19.45478716407293
43,25,1149.3948568554658,926.9305670962576,-222.4642897592082,-19.35490562119182
43,26,1150.729643844261,929.2375528146722,-221.4920910295889,-19.247969513468576
43,27,1152.058290070593,931.6222430821512,-220.43604698844194,-19.134105356330068
43,28,1153.378020823974,934.0874332564829,-219.29058756749123,-19.012898079229036
43,29,1154.703668220423,936.6301565334776,-218.07351168694538,-18.885668911317342
43,30,1156.0352491800152,939.2554887814072,-216.779760398608,-18.752002635937927
43,31,1157.3805070329074,941.963186960373,-215.41732007253438,-18.61248904431475
43,32,1158.7262252906949,944.7647323050035,-213.9614929856914,-18.465232624903607
44,4,1149.9918646268213,1015.1028615946211,-134.8890030322002,-11.729561502243534
44,5,1120.1066682003516,977.2511588409939,-142.8555093593577,-12.753741533284524
44,6,1105.1962143376782,959.1874146960018,-146.00879964167632,-13.211120138443155
44,7,1097.3393215357755,949.6734628662152,-147.6658586695603,-13.456718060817806
44,8,1092.9522730339754,944.1918714140741,-148.76040161990136,-13.610878104214985
44,9,1090.4036485811403,940.8817744034448,-149.5218741776955,-13.712525116020746
44,10,1088.9555243819577,938.9174063437717,-150.03811803818598,-13.77816767340805
44,11,1088.2324430966744,937.8797390367162,-150.35270405995823,-13.816230623681324
44,12,1088.0389070030942,937.5010236445083,-150.53788335858587,-13.83570774810149
44,13,1088.2423024249836,937.6221780450836,-150.62012437989995,-13.840679051371719
44,14,1088.7447274775145,938.1167934221186,-150.62793405539594,-13.835009277554168
44,15,1089.4826952188196,938.9071090539584,-150.5755861648612,-13.820833210629246
44,16,1090.4046884715904,939.9181249802996,-150.48656349129078,-13.800982798618222
44,17,1091.463291040671,941.129909124953,-150.33338191571806,-13.773562807813777
44,18,1092.6417056543742,942.5000897587269,-150.1416158956473,-13.741157336267772
44,19,1093.9090206177991,944.0235019902599,-149.88551862753923,-13.701826733533052
44,20,1095.251441196288,945.6760804159662,-149.57536078032172,-13.656714353824373
44,21,1096.6676713905033,947.4435856941701,-149.2240856963332,-13.607047019734498
44,22,1098.143331260379,949.3320831840801,-148.81124807629885,-13.551168034276795
44,23,1099.6802287887656,951.3236839453097,-148.35654484345594,-13.490880435930187
44,24,1101.2717887485674,953.4240215859677,-147.84776716259967,-13.425184289030668
44,25,1102.9093016742374,955.6132919518552,-147.29600972238222,-13.35522417834214
44,26,1104.6045533129236,957.9048752894251,-146.69967802349845,-13.280741744501922
44,27,1106.3461962089661,960.2944460667301,-146.05175014223607,-13.20127014877447
44,28,1108.1302142897418,962.7744460550693,-145.3557682346725,-13.11721008598602
44,29,1109.972681767661,965.3437033045732,-144.62897846308783,-13.029958379945207
44,30,1111.8622165203992,968.0093597946784,-143.8528567257208,-12.938011076220569
