variant,eval_loops,seeds,mean_loss,std_loss,mean_perplexity,std_perplexity,min_perplexity,max_perplexity
random_r8_24_intermediate,8,3,7.013059616088867,0.017081544628651017,1111.1568223840632,18.997281145856782,1092.9522730339754,1130.8582705247547
random_r8_24_intermediate,9,3,7.011302312215169,0.01757747549614089,1109.2122475129916,19.512478908997707,1090.4036485811403,1129.3596511783398
random_r8_24_intermediate,10,3,7.01064936319987,0.018170270334549266,1108.496049655362,20.155189261841635,1088.9555243819577,1129.2142599632143
random_r8_24_intermediate,11,3,7.010606288909912,0.018742179730848792,1108.4561004503166,20.787369270235995,1088.2324430966744,1129.7646913202454
random_r8_24_intermediate,12,3,7.010959625244141,0.019257473548768455,1108.8550656374766,21.36606720728738,1088.0389070030942,1130.7315573420688
random_r8_24_intermediate,13,3,7.01158348719279,0.019704342046131057,1109.5534969860269,21.87590239861635,1088.2423024249836,1131.9534480393113
random_r8_24_intermediate,14,3,7.012397766113281,0.02008947767853852,1110.4630305304186,22.32274346248144,1088.7447274775145,1133.344717566006
random_r8_24_intermediate,15,3,7.013359705607097,0.02041065298698235,1111.5365693760868,22.702682532915034,1089.4826952188196,1134.8367199777506
random_r8_24_intermediate,16,3,7.014419714609782,0.0206667931351341,1112.7193431840005,23.013363337198925,1090.4046884715904,1136.3729512224472
random_r8_24_intermediate,17,3,7.015551726023356,0.020863998552430558,1113.982715308763,23.26046027953299,1091.463291040671,1137.9194010718336
random_r8_24_intermediate,18,3,7.0167412757873535,0.021000036756563544,1115.310763825434,23.440845480106955,1092.6417056543742,1139.4538286606146
random_r8_24_intermediate,19,3,7.017966429392497,0.021084610711353483,1116.6793565705675,23.564721931099122,1093.9090206177991,1140.9652985601097
random_r8_24_intermediate,20,3,7.019221941630046,0.02111935332973551,1118.0827892792981,23.633395564194092,1095.251441196288,1142.4439082505069
random_r8_24_intermediate,21,3,7.020501931508382,0.021102817624330833,1119.5145789108176,23.644994807057824,1096.6676713905033,1143.8840703657463
random_r8_24_intermediate,22,3,7.021808624267578,0.0210507455122084,1120.9775739118186,23.61702288092802,1098.143331260379,1145.3063872900798
random_r8_24_intermediate,23,3,7.023135185241699,0.02095277428611683,1122.4640613614638,23.537450738831367,1099.6802287887656,1146.6889164093498
random_r8_24_intermediate,24,3,7.02448050181071,0.02082066302535105,1123.9730737401637,23.419493139239908,1101.2717887485674,1148.0501220010099
random_r8_24_intermediate,25,3,7.025847911834717,0.020660267649906302,1125.508553543747,23.26948830954234,1102.9093016742374,1149.3948568554658
random_r8_24_intermediate,26,3,7.027240912119548,0.02046966144706514,1127.0745262368293,23.085372426532075,1104.6045533129236,1150.729643844261
random_r8_24_intermediate,27,3,7.028652985890706,0.020256024393275937,1128.6638809474282,22.875060280882508,1106.3461962089661,1152.058290070593
random_r8_24_intermediate,28,3,7.030083656311035,0.020019979847157487,1130.27619165635,22.63904235030619,1108.1302142897418,1153.378020823974
random_r8_24_intermediate,29,3,7.031541665395101,0.01976115019954468,1131.9214526865362,22.377136986308415,1109.972681767661,1154.703668220423
random_r8_24_intermediate,30,3,7.033024152119954,0.019484702446480855,1133.5966470827757,22.09493373490308,1111.8622165203992,1156.0352491800152
random_r8_24_intermediate,31,3,7.03452746073405,0.01919356879820775,1135.2978050247027,21.795832350832406,1113.8006416715662,1157.3805070329074
random_r8_24_intermediate,32,3,7.0360541343688965,0.018882670480621918,1137.0278632467207,21.473716609577597,1115.7860733855193,1158.7262252906949
