variant,seed,eval_loops,loss,perplexity,last_hidden_norm,last_relative_update,last_cosine_to_previous
random_r8_24_intermediate,43,21,7.042184829711914,1143.8840703657463,4.52429723739624,0.0070512196980416775,0.9999644756317139
random_r8_24_intermediate,43,22,7.043427467346191,1145.3063872900798,4.52429723739624,0.006577713880687952,0.9999692440032959
random_r8_24_intermediate,43,23,7.044633865356445,1146.6889164093498,4.52429723739624,0.006184600293636322,0.9999723434448242
random_r8_24_intermediate,43,24,7.045820236206055,1148.0501220010099,4.52429723739624,0.0058562979102134705,0.9999749660491943
random_r8_24_intermediate,43,25,7.046990871429443,1149.3948568554658,4.52429723739624,0.005580319091677666,0.9999769330024719
random_r8_24_intermediate,43,26,7.04815149307251,1150.729643844261,4.52429723739624,0.00534652778878808,0.9999788403511047
random_r8_24_intermediate,43,27,7.049305438995361,1152.058290070593,4.52429723739624,0.0051467642188072205,0.9999802112579346
random_r8_24_intermediate,43,28,7.050450325012207,1153.378020823974,4.52429723739624,0.004974672570824623,0.9999809861183167
random_r8_24_intermediate,43,29,7.051599025726318,1154.703668220423,4.52429723739624,0.004825069569051266,0.9999819993972778
random_r8_24_intermediate,43,30,7.052751541137695,1156.0352491800152,4.52429723739624,0.004693978000432253,0.9999825954437256
random_r8_24_intermediate,43,31,7.053914546966553,1157.3805070329074,4.52429723739624,0.004578083287924528,0.9999831914901733
random_r8_24_intermediate,43,32,7.055076599121094,1158.7262252906949,4.52429723739624,0.00447483966127038,0.9999836683273315
random_r8_24_intermediate,44,4,7.047510147094727,1149.9918646268213,4.585639476776123,0.0821530818939209,0.9958353042602539
random_r8_24_intermediate,44,5,7.02117919921875,1120.1066682003516,4.585639476776123,0.0663214698433876,0.997278094291687
random_r8_24_intermediate,44,6,7.007778167724609,1105.1962143376782,4.585639476776123,0.054089393466711044,0.9981943964958191
random_r8_24_intermediate,44,7,7.000643730163574,1097.3393215357755,4.585639476776123,0.0446670837700367,0.9987766742706299
random_r8_24_intermediate,44,8,6.99663782119751,1092.9522730339754,4.585639476776123,0.03740612044930458,0.9991493225097656
random_r8_24_intermediate,44,9,6.994303226470947,1090.4036485811403,4.585639476776123,0.03177688643336296,0.9993916749954224
random_r8_24_intermediate,44,10,6.992974281311035,1088.9555243819577,4.585639476776123,0.027362516149878502,0.9995526075363159
random_r8_24_intermediate,44,11,6.992310047149658,1088.2324430966744,4.585639476776123,0.023848947137594223,0.999662458896637
random_r8_24_intermediate,44,12,6.992132186889648,1088.0389070030942,4.585639476776123,0.02100924775004387,0.9997390508651733
random_r8_24_intermediate,44,13,6.992319107055664,1088.2423024249836,4.585639476776123,0.018683526664972305,0.9997940063476562
random_r8_24_intermediate,44,14,6.992780685424805,1088.7447274775145,4.585639476776123,0.016759932041168213,0.9998335838317871
random_r8_24_intermediate,44,15,6.993458271026611,1089.4826952188196,4.585639476776123,0.015158691443502903,0.9998635649681091
random_r8_24_intermediate,44,16,6.994304180145264,1090.4046884715904,4.585639476776123,0.013820626772940159,0.999885618686676
random_r8_24_intermediate,44,17,6.995274543762207,1091.463291040671,4.585639476776123,0.012699875980615616,0.9999029040336609
random_r8_24_intermediate,44,18,6.996353626251221,1092.6417056543742,4.585639476776123,0.01175934448838234,0.9999158978462219
random_r8_24_intermediate,44,19,6.9975128173828125,1093.9090206177991,4.585639476776123,0.010968158021569252,0.9999260306358337
random_r8_24_intermediate,44,20,6.998739242553711,1095.251441196288,4.585639476776123,0.01030049193650484,0.9999340772628784
random_r8_24_intermediate,44,21,7.000031471252441,1096.6676713905033,4.585639476776123,0.009734733030200005,0.9999403357505798
random_r8_24_intermediate,44,22,7.001376152038574,1098.143331260379,4.585639476776123,0.009252880699932575,0.9999456405639648
random_r8_24_intermediate,44,23,7.002774715423584,1099.6802287887656,4.585639476776123,0.00884011946618557,0.9999499320983887
random_r8_24_intermediate,44,24,7.004220962524414,1101.2717887485674,4.585639476776123,0.008484265767037868,0.9999533891677856
random_r8_24_intermediate,44,25,7.005706787109375,1102.9093016742374,4.585639476776123,0.008175604976713657,0.9999563097953796
random_r8_24_intermediate,44,26,7.007242679595947,1104.6045533129236,4.585639476776123,0.007906063459813595,0.9999586343765259
random_r8_24_intermediate,44,27,7.00881814956665,1106.3461962089661,4.585639476776123,0.007669201120734215,0.9999608993530273
random_r8_24_intermediate,44,28,7.010429382324219,1108.1302142897418,4.585639476776123,0.007459736429154873,0.9999627470970154
random_r8_24_intermediate,44,29,7.012090682983398,1109.972681767661,4.585639476776123,0.007273431867361069,0.9999643564224243
random_r8_24_intermediate,44,30,7.013791561126709,1111.8622165203992,4.585639476776123,0.007106798235327005,0.9999655485153198
random_r8_24_intermediate,44,31,7.015533447265625,1113.8006416715662,4.585639476776123,0.006956965662539005,0.9999668002128601
random_r8_24_intermediate,44,32,7.017314434051514,1115.7860733855193,4.585639476776123,0.006821439601480961,0.9999676942825317
