seed,eval_loops,final_perplexity,intermediate_perplexity,absolute_delta,relative_delta_percent
44,23,1294.7159667928813,1099.6802287887656,-195.03573800411573,-15.06397874178036
44,24,1296.097139344162,1101.2717887485674,-194.82535059559473,-15.031693588505124
44,25,1297.5385618536072,1102.9093016742374,-194.6292601793698,-14.999882539238829
44,26,1299.0546789791536,1104.6045533129236,-194.45012566622995,-14.96858668174278
44,27,1300.622181473806,1106.3461962089661,-194.27598526483985,-14.93715761826352
44,28,1302.251186357211,1108.1302142897418,-194.1209720674692,-14.906569032237481
44,29,1303.952489994775,1109.972681767661,-193.97980822711406,-14.876294168347448
44,30,1305.7126727630948,1111.8622165203992,-193.8504562426956,-14.846333369230258
44,31,1307.543813175225,1113.8006416715662,-193.7431715036589,-14.817336868672504
44,32,1309.4324664113792,1115.7860733855193,-193.64639302585988,-14.788574286428513
